id,title,author,text,label
432,You Won’t Believe What Politician Said,John Smith,Politician caught in scandal that mainstream media refuses to report...,1
433,Scientists Map Human Genome Progress,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
434,Local Community Center Opens New Wing,Alex Johnson,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
435,New Study Reveals Benefits of Exercise,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
436,Celeb Scandals Hidden from You,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
437,Mayor Announces Infrastructure Plan,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
438,Celeb Scandals Hidden from You,John Smith,This unbelievable event will change everything you know about the government...,1
439,New Study Reveals Benefits of Exercise,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
440,You Won’t Believe What Politician Said,John Smith,This unbelievable event will change everything you know about the government...,1
441,Scientists Map Human Genome Progress,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
442,You Won’t Believe What Politician Said,Patricia Brown,This unbelievable event will change everything you know about the government...,1
443,Scientists Map Human Genome Progress,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
444,Local Community Center Opens New Wing,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
445,You Won’t Believe What Politician Said,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
446,Miracle Cure for Diabetes Discovered,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
447,Stock Market Sees Moderate Growth,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
448,Celeb Scandals Hidden from You,Unknown,This unbelievable event will change everything you know about the government...,1
449,Local Community Center Opens New Wing,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
450,Stock Market Sees Moderate Growth,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
451,Stock Market Sees Moderate Growth,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
452,Stock Market Sees Moderate Growth,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
453,Miracle Cure for Diabetes Discovered,Jane Doe,This unbelievable event will change everything you know about the government...,1
454,You Won’t Believe What Politician Said,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
455,You Won’t Believe What Politician Said,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
456,Mayor Announces Infrastructure Plan,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
457,New Study Reveals Benefits of Exercise,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
458,Local Community Center Opens New Wing,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
459,New Study Reveals Benefits of Exercise,Alex Johnson,"In an interview, the mayor highlighted community involvement in the project.",0
460,Scientists Map Human Genome Progress,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
461,Scientists Map Human Genome Progress,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
462,You Won’t Believe What Politician Said,Sam Lee,This unbelievable event will change everything you know about the government...,1
463,New Study Reveals Benefits of Exercise,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
464,Shocking Health Secret Exposed,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
465,Stock Market Sees Moderate Growth,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
466,You Won’t Believe What Politician Said,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
467,Local Community Center Opens New Wing,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
468,Local Community Center Opens New Wing,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
469,Local Community Center Opens New Wing,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
470,Stock Market Sees Moderate Growth,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
471,Scientists Map Human Genome Progress,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
472,Mayor Announces Infrastructure Plan,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
473,Stock Market Sees Moderate Growth,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
474,Scientists Map Human Genome Progress,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
475,Miracle Cure for Diabetes Discovered,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
476,Stock Market Sees Moderate Growth,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
477,You Won’t Believe What Politician Said,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
478,Scientists Map Human Genome Progress,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
479,Miracle Cure for Diabetes Discovered,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
480,Shocking Health Secret Exposed,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
481,Local Community Center Opens New Wing,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
482,New Study Reveals Benefits of Exercise,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
483,Government Plans to Confiscate Guns,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
484,Local Community Center Opens New Wing,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
485,New Study Reveals Benefits of Exercise,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
486,Government Plans to Confiscate Guns,Patricia Brown,This unbelievable event will change everything you know about the government...,1
487,Stock Market Sees Moderate Growth,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
488,Miracle Cure for Diabetes Discovered,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
489,Local Community Center Opens New Wing,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
490,New Study Reveals Benefits of Exercise,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
491,Government Plans to Confiscate Guns,Patricia Brown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
492,Government Plans to Confiscate Guns,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
493,Stock Market Sees Moderate Growth,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
494,Scientists Map Human Genome Progress,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
495,New Study Reveals Benefits of Exercise,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
496,Scientists Map Human Genome Progress,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
497,New Study Reveals Benefits of Exercise,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
498,You Won’t Believe What Politician Said,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
499,Local Community Center Opens New Wing,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
500,Miracle Cure for Diabetes Discovered,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
501,New Study Reveals Benefits of Exercise,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
502,Government Plans to Confiscate Guns,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
503,New Study Reveals Benefits of Exercise,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
504,Local Community Center Opens New Wing,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
505,Miracle Cure for Diabetes Discovered,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
506,Shocking Health Secret Exposed,Sam Lee,This unbelievable event will change everything you know about the government...,1
507,Stock Market Sees Moderate Growth,Jane Doe,Officials announced a new public transportation route aimed at reducing traffic.,0
508,Scientists Map Human Genome Progress,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
509,Mayor Announces Infrastructure Plan,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
510,Scientists Map Human Genome Progress,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
511,Government Plans to Confiscate Guns,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
512,Local Community Center Opens New Wing,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
513,Celeb Scandals Hidden from You,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
514,New Study Reveals Benefits of Exercise,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
515,Celeb Scandals Hidden from You,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
516,Stock Market Sees Moderate Growth,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
517,You Won’t Believe What Politician Said,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
518,Local Community Center Opens New Wing,Unknown,"In an interview, the mayor highlighted community involvement in the project.",0
519,Miracle Cure for Diabetes Discovered,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
520,Mayor Announces Infrastructure Plan,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
521,Local Community Center Opens New Wing,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
522,Stock Market Sees Moderate Growth,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
523,Stock Market Sees Moderate Growth,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
524,Miracle Cure for Diabetes Discovered,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
525,Miracle Cure for Diabetes Discovered,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
526,Government Plans to Confiscate Guns,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
527,New Study Reveals Benefits of Exercise,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
528,Miracle Cure for Diabetes Discovered,Patricia Brown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
529,Local Community Center Opens New Wing,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
530,Shocking Health Secret Exposed,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
531,Scientists Map Human Genome Progress,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
532,Celeb Scandals Hidden from You,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
533,Scientists Map Human Genome Progress,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
534,Scientists Map Human Genome Progress,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
535,Shocking Health Secret Exposed,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
536,You Won’t Believe What Politician Said,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
537,You Won’t Believe What Politician Said,Sam Lee,This unbelievable event will change everything you know about the government...,1
538,Government Plans to Confiscate Guns,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
539,Shocking Health Secret Exposed,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
540,Miracle Cure for Diabetes Discovered,Unknown,New research shows cures suppressed by pharmaceutical companies...,1
541,Government Plans to Confiscate Guns,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
542,Shocking Health Secret Exposed,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
543,Scientists Map Human Genome Progress,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
544,Celeb Scandals Hidden from You,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
545,Shocking Health Secret Exposed,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
546,New Study Reveals Benefits of Exercise,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
547,New Study Reveals Benefits of Exercise,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
548,Miracle Cure for Diabetes Discovered,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
549,Miracle Cure for Diabetes Discovered,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
550,You Won’t Believe What Politician Said,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
551,Shocking Health Secret Exposed,Sam Lee,This unbelievable event will change everything you know about the government...,1
552,Mayor Announces Infrastructure Plan,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
553,You Won’t Believe What Politician Said,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
554,Scientists Map Human Genome Progress,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
555,Miracle Cure for Diabetes Discovered,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
556,Shocking Health Secret Exposed,Unknown,This unbelievable event will change everything you know about the government...,1
557,You Won’t Believe What Politician Said,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
558,Celeb Scandals Hidden from You,Patricia Brown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
559,Miracle Cure for Diabetes Discovered,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
560,Stock Market Sees Moderate Growth,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
561,Stock Market Sees Moderate Growth,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
562,Government Plans to Confiscate Guns,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
563,Celeb Scandals Hidden from You,Sam Lee,This unbelievable event will change everything you know about the government...,1
564,Local Community Center Opens New Wing,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
565,Local Community Center Opens New Wing,Jane Doe,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
566,Local Community Center Opens New Wing,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
567,Miracle Cure for Diabetes Discovered,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
568,You Won’t Believe What Politician Said,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
569,Stock Market Sees Moderate Growth,Unknown,"According to a recent report by credible sources, the city budget increased by 5%.",0
570,Stock Market Sees Moderate Growth,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
571,Celeb Scandals Hidden from You,Alex Johnson,This unbelievable event will change everything you know about the government...,1
572,Stock Market Sees Moderate Growth,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
573,Government Plans to Confiscate Guns,Patricia Brown,This unbelievable event will change everything you know about the government...,1
574,Mayor Announces Infrastructure Plan,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
575,Scientists Map Human Genome Progress,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
576,You Won’t Believe What Politician Said,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
577,Miracle Cure for Diabetes Discovered,Alex Johnson,Politician caught in scandal that mainstream media refuses to report...,1
578,Stock Market Sees Moderate Growth,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
579,Celeb Scandals Hidden from You,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
580,Stock Market Sees Moderate Growth,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
581,Mayor Announces Infrastructure Plan,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
582,Scientists Map Human Genome Progress,Jane Doe,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
583,New Study Reveals Benefits of Exercise,Jane Doe,"According to a recent report by credible sources, the city budget increased by 5%.",0
584,Miracle Cure for Diabetes Discovered,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
585,Miracle Cure for Diabetes Discovered,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
586,You Won’t Believe What Politician Said,Alex Johnson,Politician caught in scandal that mainstream media refuses to report...,1
587,Mayor Announces Infrastructure Plan,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
588,Shocking Health Secret Exposed,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
589,You Won’t Believe What Politician Said,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
590,Local Community Center Opens New Wing,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
591,Government Plans to Confiscate Guns,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
592,Miracle Cure for Diabetes Discovered,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
593,Miracle Cure for Diabetes Discovered,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
594,Miracle Cure for Diabetes Discovered,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
595,Scientists Map Human Genome Progress,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
596,Celeb Scandals Hidden from You,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
597,Government Plans to Confiscate Guns,John Smith,This unbelievable event will change everything you know about the government...,1
598,Miracle Cure for Diabetes Discovered,Alex Johnson,This unbelievable event will change everything you know about the government...,1
599,Shocking Health Secret Exposed,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
600,Stock Market Sees Moderate Growth,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
601,Miracle Cure for Diabetes Discovered,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
602,Scientists Map Human Genome Progress,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
603,Government Plans to Confiscate Guns,Alex Johnson,This unbelievable event will change everything you know about the government...,1
604,Celeb Scandals Hidden from You,Sam Lee,This unbelievable event will change everything you know about the government...,1
605,Shocking Health Secret Exposed,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
606,Scientists Map Human Genome Progress,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
607,Stock Market Sees Moderate Growth,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
608,Shocking Health Secret Exposed,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
609,Local Community Center Opens New Wing,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
610,New Study Reveals Benefits of Exercise,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
611,Government Plans to Confiscate Guns,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
612,New Study Reveals Benefits of Exercise,Alex Johnson,Officials announced a new public transportation route aimed at reducing traffic.,0
613,Mayor Announces Infrastructure Plan,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
614,Miracle Cure for Diabetes Discovered,Patricia Brown,This unbelievable event will change everything you know about the government...,1
615,Stock Market Sees Moderate Growth,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
616,You Won’t Believe What Politician Said,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
617,Scientists Map Human Genome Progress,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
618,Government Plans to Confiscate Guns,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
619,Government Plans to Confiscate Guns,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
620,Celeb Scandals Hidden from You,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
621,New Study Reveals Benefits of Exercise,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
622,Celeb Scandals Hidden from You,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
623,New Study Reveals Benefits of Exercise,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
624,Celeb Scandals Hidden from You,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
625,Stock Market Sees Moderate Growth,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
626,Shocking Health Secret Exposed,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
627,Local Community Center Opens New Wing,Unknown,"According to a recent report by credible sources, the city budget increased by 5%.",0
628,Stock Market Sees Moderate Growth,Unknown,"According to a recent report by credible sources, the city budget increased by 5%.",0
629,Local Community Center Opens New Wing,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
630,Government Plans to Confiscate Guns,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
631,Scientists Map Human Genome Progress,John Smith,"In an interview, the mayor highlighted community involvement in the project.",0
632,New Study Reveals Benefits of Exercise,Alex Johnson,"In an interview, the mayor highlighted community involvement in the project.",0
633,Celeb Scandals Hidden from You,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
634,Government Plans to Confiscate Guns,John Smith,Politician caught in scandal that mainstream media refuses to report...,1
635,Local Community Center Opens New Wing,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
636,Shocking Health Secret Exposed,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
637,Stock Market Sees Moderate Growth,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
638,Scientists Map Human Genome Progress,Alex Johnson,"In an interview, the mayor highlighted community involvement in the project.",0
639,Shocking Health Secret Exposed,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
640,Government Plans to Confiscate Guns,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
641,Local Community Center Opens New Wing,Patricia Brown,"According to a recent report by credible sources, the city budget increased by 5%.",0
642,Stock Market Sees Moderate Growth,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
643,You Won’t Believe What Politician Said,John Smith,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
644,Celeb Scandals Hidden from You,Alex Johnson,This unbelievable event will change everything you know about the government...,1
645,New Study Reveals Benefits of Exercise,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
646,Celeb Scandals Hidden from You,Patricia Brown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
647,Stock Market Sees Moderate Growth,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
648,Miracle Cure for Diabetes Discovered,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
649,Government Plans to Confiscate Guns,Sam Lee,New research shows cures suppressed by pharmaceutical companies...,1
650,You Won’t Believe What Politician Said,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
651,Local Community Center Opens New Wing,Patricia Brown,Officials announced a new public transportation route aimed at reducing traffic.,0
652,You Won’t Believe What Politician Said,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
653,Miracle Cure for Diabetes Discovered,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
654,Shocking Health Secret Exposed,Sam Lee,This unbelievable event will change everything you know about the government...,1
655,Miracle Cure for Diabetes Discovered,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
656,Scientists Map Human Genome Progress,Patricia Brown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
657,New Study Reveals Benefits of Exercise,John Smith,Officials announced a new public transportation route aimed at reducing traffic.,0
658,Government Plans to Confiscate Guns,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
659,Stock Market Sees Moderate Growth,Unknown,"According to a recent report by credible sources, the city budget increased by 5%.",0
660,Government Plans to Confiscate Guns,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
661,Miracle Cure for Diabetes Discovered,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
662,Government Plans to Confiscate Guns,Sam Lee,Politician caught in scandal that mainstream media refuses to report...,1
663,Mayor Announces Infrastructure Plan,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
664,New Study Reveals Benefits of Exercise,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
665,Stock Market Sees Moderate Growth,Sam Lee,"According to a recent report by credible sources, the city budget increased by 5%.",0
666,Local Community Center Opens New Wing,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
667,New Study Reveals Benefits of Exercise,Jane Doe,"In an interview, the mayor highlighted community involvement in the project.",0
668,Government Plans to Confiscate Guns,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
669,Government Plans to Confiscate Guns,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
670,Scientists Map Human Genome Progress,Sam Lee,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
671,Local Community Center Opens New Wing,Patricia Brown,"In an interview, the mayor highlighted community involvement in the project.",0
672,Shocking Health Secret Exposed,Patricia Brown,New research shows cures suppressed by pharmaceutical companies...,1
673,Mayor Announces Infrastructure Plan,Unknown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
674,Celeb Scandals Hidden from You,Patricia Brown,Politician caught in scandal that mainstream media refuses to report...,1
675,Miracle Cure for Diabetes Discovered,Jane Doe,This unbelievable event will change everything you know about the government...,1
676,Stock Market Sees Moderate Growth,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
677,Government Plans to Confiscate Guns,Unknown,This unbelievable event will change everything you know about the government...,1
678,Celeb Scandals Hidden from You,Unknown,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
679,Government Plans to Confiscate Guns,Sam Lee,This unbelievable event will change everything you know about the government...,1
680,You Won’t Believe What Politician Said,John Smith,Politician caught in scandal that mainstream media refuses to report...,1
681,Local Community Center Opens New Wing,Sam Lee,"In an interview, the mayor highlighted community involvement in the project.",0
682,Miracle Cure for Diabetes Discovered,John Smith,New research shows cures suppressed by pharmaceutical companies...,1
683,Scientists Map Human Genome Progress,Jane Doe,Officials announced a new public transportation route aimed at reducing traffic.,0
684,Celeb Scandals Hidden from You,Unknown,Politician caught in scandal that mainstream media refuses to report...,1
685,Miracle Cure for Diabetes Discovered,Patricia Brown,This unbelievable event will change everything you know about the government...,1
686,Government Plans to Confiscate Guns,Sam Lee,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
687,Celeb Scandals Hidden from You,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
688,Celeb Scandals Hidden from You,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
689,You Won’t Believe What Politician Said,John Smith,This unbelievable event will change everything you know about the government...,1
690,You Won’t Believe What Politician Said,Jane Doe,Politician caught in scandal that mainstream media refuses to report...,1
691,Mayor Announces Infrastructure Plan,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
692,Mayor Announces Infrastructure Plan,John Smith,"According to a recent report by credible sources, the city budget increased by 5%.",0
693,Stock Market Sees Moderate Growth,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
694,Celeb Scandals Hidden from You,Sam Lee,This unbelievable event will change everything you know about the government...,1
695,Local Community Center Opens New Wing,Unknown,Officials announced a new public transportation route aimed at reducing traffic.,0
696,Miracle Cure for Diabetes Discovered,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
697,Celeb Scandals Hidden from You,John Smith,This unbelievable event will change everything you know about the government...,1
698,Shocking Health Secret Exposed,Jane Doe,New research shows cures suppressed by pharmaceutical companies...,1
699,Shocking Health Secret Exposed,Jane Doe,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
700,Local Community Center Opens New Wing,John Smith,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
701,Stock Market Sees Moderate Growth,Sam Lee,Officials announced a new public transportation route aimed at reducing traffic.,0
702,You Won’t Believe What Politician Said,Patricia Brown,This unbelievable event will change everything you know about the government...,1
703,Scientists Map Human Genome Progress,Alex Johnson,"According to a recent report by credible sources, the city budget increased by 5%.",0
704,Government Plans to Confiscate Guns,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
705,Shocking Health Secret Exposed,Alex Johnson,New research shows cures suppressed by pharmaceutical companies...,1
706,Local Community Center Opens New Wing,Patricia Brown,"The study, conducted over five years, demonstrates a strong correlation between A and B.",0
707,Shocking Health Secret Exposed,John Smith,Politician caught in scandal that mainstream media refuses to report...,1
708,Government Plans to Confiscate Guns,Alex Johnson,Secret studies reveal that drinking this tea daily can help you lose weight overnight...,1
